Jl-tqYoBStwCXBRBtv7_,"A girl is brushing her hair.","A girl is styling her hair.",1.9486718
J1-uqYoBStwCXBRBDP7q,"A group of boys are playing soccer on the beach.","A group of men play soccer on the beach.",1.9648857
KF-uqYoBStwCXBRBYv64,"A woman measures another woman's ankle.","One woman is measuring another woman's ankle.",1.9903564
KV-uqYoBStwCXBRBuP7s,"A man is slicing a cucumber.","A man is cutting up a cucumber.",1.9871854
Kl-vqYoBStwCXBRBDv6z,"A man is playing a keyboard.","A man is playing a harp.",1.9066752
K1-vqYoBStwCXBRBZP70,"A woman is cutting tofu.","A woman is cutting onions.",1.850699
LF-vqYoBStwCXBRBw_4M,"A man is riding a bicycle.","A man is riding an electric bicycle.",1.9168972
LV-wqYoBStwCXBRBGP7y,"A man is playing the guitar.","A man is playing the drums.",1.9192176
Ll-wqYoBStwCXBRBbv74,"A lady is playing the guitar.","A man is playing guitar.",1.8974409
L1-wqYoBStwCXBRBxP6y,"A man is playing a trumpet.","A man is playing a guitar.",1.8983116
MF-xqYoBStwCXBRBHP5w,"A man is playing a trumpet.","A man is playing a guitar.",1.8983116
MV-xqYoBStwCXBRBcv5Q,"A man cuts an onion.","A man is cutting an onion.",1.9896058
Ml-xqYoBStwCXBRByP5b,"A man is talking.","A man is cycling.",1.8539479
M1-yqYoBStwCXBRBHf7j,"A man is cutting up a fish.","A man is slicing open a fish.",1.9704142
NF-yqYoBStwCXBRBdP6n,"A man is slicing a bun.","A man is slicing a tomato.",1.8987631
NV-yqYoBStwCXBRByf60,"A man is playing a keyboard.","A man is playing a guitar.",1.9070969
Nl-zqYoBStwCXBRBH_4t,"A panda slides down a slide.","A baby panda goes down a slide.",1.9672201
N1-zqYoBStwCXBRBdP64,"A man is playing a guitar.","A man is singing and playing a guitar.",1.9400098
OF-zqYoBStwCXBRBz_7I,"A man slaps a woman.","A man attacks a woman.",1.9342234
OV-0qYoBStwCXBRBJP73,"A man is riding a horse.","A man is driving a car.",1.8691156
Ol-0qYoBStwCXBRBev4N,"A woman is cutting an onion.","A woman is cutting tofu.",1.9005289
O1-0qYoBStwCXBRBz_4R,"The woman is slicing herbs.","The woman is styling her hair.",1.8647954
PF-1qYoBStwCXBRBJf4W,"Two zebras are playing in a field.","Two zebras play in an open field.",1.9834373
Pl-1qYoBStwCXBRBev6n,"A man is slicing some potato.","A man is cutting a potato.",1.979162
P1-1qYoBStwCXBRB0P4T,"A woman is slicing a pumpkin.","A man is slicing an onion.",1.8797022
QF-2qYoBStwCXBRBJf7T,"A man and woman is dancing.","A  man is dancing.",1.9164933
QV-2qYoBStwCXBRBe_4c,"A woman is riding a horse.","A man is riding a motorcycle.",1.8308623
Ql-2qYoBStwCXBRB0P5e,"A woman is slicing an onion.","A woman is slicing garlics.",1.9404521
Q1-3qYoBStwCXBRBJf6q,"A man is cooking.","A man is speaking.",1.8606291
RF-3qYoBStwCXBRBev6n,"A man is singing and playing the guitar.","A little boy is singing and playing a guitar.",1.9182769
RV-3qYoBStwCXBRB0f4V,"A turtle is walking underwater.","A turtle is swimming in water.",1.9451965
Rl-4qYoBStwCXBRBJv4Z,"A woman is applying stickers to her face.","A young woman is putting stickers all over her face.",1.9808083
R1-4qYoBStwCXBRBe_4m,"A woman is balling dough.","A woman is wrapping tofu.",1.8472128
SF-4qYoBStwCXBRB0f4y,"A cat is eating corn on the cob.","A cat is eating some corn.",1.9801893
SV-5qYoBStwCXBRBJv5u,"A man is eating a piece of bread.","A man is eating a food.",1.9370714
Sl-5qYoBStwCXBRBff5k,"A man is eating pasta.","A man is playing a guitar.",1.8141918
S1-5qYoBStwCXBRB0_5C,"A man is picking flowers.","A man is kicking pots of water.",1.8499659
TV-6qYoBStwCXBRBKP5M,"A man is cutting carpet with a knife.","A man is cutting a pipe with scissors.",1.9053421
Tl-6qYoBStwCXBRBff6a,"A woman dances in the rain out side.","A woman is dancing in the rain.",1.9785376
T1-6qYoBStwCXBRB1P6w,"A woman is riding a horse.","A woman is taking a bath.",1.8495224
UF-7qYoBStwCXBRBKf7p,"A person is stirring vegetables in a pot.","A man mixes vegetables in a pot.",1.9575493
UV-7qYoBStwCXBRBf_5J,"A man and woman are talking on the phone.","A woman is talking on a cell phone.",1.9195466
Ul-7qYoBStwCXBRB1P4f,"A man is singing while playing the guitar.","A man is playing a guitar.",1.921764
U1-8qYoBStwCXBRBKv4w,"A man is driving a car.","A man is playing a guitar.",1.8538584
VF-8qYoBStwCXBRBf_6w,"A man is cutting carpet with a knife.","A man is cutting apple by his hand.",1.8732153
VV-8qYoBStwCXBRB1f7v,"A man is cutting an onion.","A man is opening a door.",1.8443133
Vl-9qYoBStwCXBRBK_56,"A man is riding a horse.","A man is slicing a tomato.",1.7968118
V1-9qYoBStwCXBRBgP7a,"A woman is cutting a tomato.","A man is cutting paper with a sword.",1.8325672
WF-9qYoBStwCXBRB2f7g,"A boy is looking at a calendar.","A boy studies a calendar.",1.9764084
WV--qYoBStwCXBRBMf5z,"A man is dancing.","The ballerina is dancing.",1.879307
Wl--qYoBStwCXBRBh_6_,"A woman is playing violin.","A woman is dancing.",1.8825436
xifPqYoBoyxv99w-1yZl,"A woman is chopping a potato.","A woman is slicing some tomatoes.",1.9196877
xyfQqYoBoyxv99w-LyY5,"A woman is slicing fish.","A woman is water skiing.",1.853046
yCfQqYoBoyxv99w-hib4,"A man is riding a scooter.","A man is playing a flute.",1.8525307
Me7dqYoBt9UxlW-8yp_d,"A man played the guitar.","A man is playing the piano.",1.904037
Mu7eqYoBt9UxlW-8KJ9K,"A man is playing a guitar.","A woman is picking a can.",1.7831621
zsr9q4oB0BJ1Q3TkfQSJ,"A man is putting meat in a pan.","A man puts three pieces of meat into a pan.",1.9542856
z8r9q4oB0BJ1Q3Tk1QRb,"A woman is cleaning a garden.","A woman is cutting an onion.",1.8592298
0Mr-q4oB0BJ1Q3TkLgQq,"Men are sawing logs.","Some men are sawing.",1.962508
0cr-q4oB0BJ1Q3TkhQQ4,"A girl is walking down a road.","A car is driven down the road.",1.8798938
0sr-q4oB0BJ1Q3Tk3wRS,"A man is hugging and kissing a woman.","The man is kissing and hugging the woman.",1.9849029
08r_q4oB0BJ1Q3TkNgR_,"A man is doing yoga.","A train is moving.",1.8006493
1Mr_q4oB0BJ1Q3TkjQQS,"A woman is cutting onion.","Someone is slicing an onion.",1.9558065
1cr_q4oB0BJ1Q3Tk5ATF,"A woman is preparing shrimp to cook.","A woman is playing in the ocean.",1.8309672
1soArIoB0BJ1Q3TkOwSq,"A kid is playing keyboard.","A person is playing an electronic keyboard.",1.9399667
18oArIoB0BJ1Q3TkkgQG,"A monkey is fighting a man.","A man is holding a leaf.",1.8047681
2MoArIoB0BJ1Q3Tk6gRm,"A man is squeezing water.","A woman is peeling shrimp.",1.8118227
2coBrIoB0BJ1Q3TkQAQO,"A man is smoking a cigarette.","A man is sitting and smoking.",1.9225267
2soBrIoB0BJ1Q3TklgQ1,"A woman is riding a horse.","A man is playing a guitar.",1.7865052
28oBrIoB0BJ1Q3Tk7AQC,"A man is staring out the window.","A man is standing in front of the window and looking outside.",1.9508286
3MoCrIoB0BJ1Q3TkQgT8,"A skunk looks at the camera.","A skunk is looking here and there.",1.9423573
3coCrIoB0BJ1Q3TkmASv,"A man sings with a guitar.","A man is playing the guitar and singing.",1.9428915
3soCrIoB0BJ1Q3Tk7QTs,"A man is crawling.","A woman opens a window.",1.7844799
38oDrIoB0BJ1Q3TkQwRK,"A group of people are dancing.","People are dancing outside.",1.9156985
4MoDrIoB0BJ1Q3TkmAS8,"Someone is banging a camera lense against a nail.","The man is using a camera to hammer a nail.",1.9363947
4coDrIoB0BJ1Q3Tk7gQ1,"A man is peeling a carrot.","A woman is filing her nails.",1.8000789
4soErIoB0BJ1Q3TkQwSR,"A boy is playing a wooden flute.","A boy is crawling into a dog house.",1.819768
48oErIoB0BJ1Q3TkmASn,"A man is slicing some carrots.","A woman is swimming underwater.",1.7753847
5MoErIoB0BJ1Q3Tk7gQt,"The machine shaved the end of the pencil.","A machine is sharpening a pencil.",1.9274576
5coFrIoB0BJ1Q3TkQwTI,"A gorilla plays the drums.","A monkey is playing drums.",1.9382184
5soFrIoB0BJ1Q3TkmQQR,"A woman is peeling a potato.","A man is opening a box and taking out paper.",1.7964202
58oFrIoB0BJ1Q3Tk7gSR,"A woman plays the clarinet.","A woman is dancing.",1.8534739
6MoGrIoB0BJ1Q3TkQwTQ,"A man is drawing on a digital dry erase board.","A person is drawing on a large touchscreen.",1.9251734
6coGrIoB0BJ1Q3TkmwT8,"The rhino grazed on the grass.","The men played follow the leader on the grass.",1.836674
6soGrIoB0BJ1Q3Tk8gQD,"A man is talking to a woman.","A woman is cracking eggs.",1.8062398
68oHrIoB0BJ1Q3TkRwRS,"The woman is slicing herbs.","A woman peels garlic with her hands.",1.8975992
7MoHrIoB0BJ1Q3TknAR4,"Polar bears are fighting each other.","The polar bears fought over the kill.",1.9436809
7coHrIoB0BJ1Q3Tk8gQE,"A man is performing a card trick.","A man is doing trick with play cards.",1.9541664
7soIrIoB0BJ1Q3TkRwQI,"A cat plays with a small bottle.","The cat is licking a bottle.",1.9405929
78oIrIoB0BJ1Q3TknAQG,"A person cuts ginger.","A person is slicing an onion.",1.8903779
8MoIrIoB0BJ1Q3Tk8QS_,"A man is cutting tomatoes with a cleaver.","A person is peeling a potato with a potato peeler.",1.8695276
8coJrIoB0BJ1Q3TkRwQx,"The women are singing and dancing.","Two women are dancing and singing in front of a crowd.",1.9568087
8soJrIoB0BJ1Q3TknASu,"A woman is slicing garlic.","A man is seasoning some carrots.",1.8700793
88oJrIoB0BJ1Q3Tk8QTD,"Two men are pushing carts.","Two men pushed carts through the woods.",1.9564214
9MoKrIoB0BJ1Q3TkRgTr,"A man is maneuvering a soccer ball with his feet.","A man is playing a football.",1.8953066
9coKrIoB0BJ1Q3TkpQSv,"A woman is peeling a potato.","The lady peeled the potatoe.",1.9637623
9soKrIoB0BJ1Q3Tk-gR9,"A woman is cutting a block of tofu into small cubes.","A woman is slicing some tofu.",1.9693539
98oLrIoB0BJ1Q3TkUAQk,"Someone is typing.","Someone typed on a keyboard.",1.936595
-MoLrIoB0BJ1Q3TkpQSD,"Three men are jumping off a wall.","Three young men run, jump, and kick off of a Coke machine.",1.8882587
-coLrIoB0BJ1Q3Tk-gTx,"A girl is putting on eye makeup.","A young Asian girl is applying eyeliner.",1.9293463
